code_producteur,n
10304403754,1
10304403761,1
10304403760,1
10304403759,1
10304403758,1
10304403757,1
10304403755,1
10304403730,1
10304403729,1
10304403728,1
10304403701,1
10304403707,1
10304403706,1
10304403705,1
10304403704,1
10304403703,1
10304403702,1
10304403700,1
10304403709,1
10304403699,1
10304403698,1
10304403697,1
10304403696,1
10304403695,1
10304403694,1
10304403708,1
10304403711,1
10304403727,1
10304403720,1
10304403726,1
10304403725,1
10304403724,1
10304403723,1
10304403722,1
10304403721,1
10304403719,1
10304403712,1
10304403718,1
10304403717,1
10304403716,1
10304403715,1
10304403714,1
10304403713,1
FT/084-A1722,1
FT/084-G2027,1
10302903780,1
FT/084-G2029,1
10300304302,1
10300304299,1
10300304298,1
10300304281,1
10300304269,1
10300304251,1
10300304230,1
10300304227,1
10300104416,1
10300104405,1
10300104401,1
10300104394,1
10300104364,1
10300104362,1
10300104358,1
10300304321,1
10300704591,1
10302004681,1
10304004475,1
10304604502,1
10304504075,1
10304504071,1
10304404197,1
10304204670,1
10304204667,1
10303504568,1
10303204621,1
10303204630,1
10303204629,1
10303204628,1
10303204625,1
10303204624,1
10303204623,1
10300104356,1
10300104353,1
10300104352,1
FT/084-G2699,1
FT/084-K2759,1
FT/084-D2406,1
FT/084-D2404,1
FT/084-D2403,1
FT/084-D2402,1
FT/084-D703,1
FT/084-D2811,1
FT/084-M1055,1
FT/084-D2371,1
FT/084-D2360,1
FT/084-D678,1
FT/084-B2108,1
FT/084-G2031,1
FT/084-G2030,1
FT/084-M1039,1
FT/084-M2510,1
10300104347,1
FT/084-T178,1
10300104342,1
FT/084-Z618,1
FT/084-Z588,1
FT/084-T657,1
FT/084-T1524,1
FT/084-T445,1
FT/084-Y538,1
FT/084-N2879,1
FT/084-Y537,1
FT/084-Y527,1
FT/084-Y524,1
FT/084-Y501,1
FT/084-Y480,1
FT/084-Y478,1
10304403693,1
10304403692,1
10304403691,1
10304403689,1
10304003798,1
10304003621,1
10304003620,1
10304003619,1
10303603596,1
10303503835,1
10303503832,1
10303503831,1
10303503830,1
10303503829,1
10303503828,1
10303503827,1
10303503826,1
10303503825,1
10303503824,1
10304003799,1
10304003800,1
10304003801,1
10304003811,1
10304003817,1
10304003816,1
10304003815,1
10304003814,1
10304003813,1
10304003812,1
10304003810,1
10304003802,1
10304003809,1
10304003808,1
10304003807,1
10304003806,1
10304003805,1
10304003804,1
10303503823,1
10303503595,1
10303503593,1
10302903788,1
10302903794,1
10302903793,1
10302903792,1
10302903791,1
10302903790,1
10302903789,1
10302903787,1
10302903796,1
10302903786,1
10302903785,1
10302903784,1
10302903783,1
10302903782,1
10302903781,1
10302903795,1
10302903797,1
10303503588,1
10303503563,1
10303503586,1
10303503583,1
10303503580,1
10303503572,1
10303503569,1
10303503565,1
10303503562,1
10303003986,1
10303503561,1
10303503559,1
10303503558,1
10303103868,1
10303103867,1
10303103861,1
10304003818,1
10304003819,1
10304003820,1
10304403660,1
10304403668,1
10304403667,1
10304403665,1
10304403663,1
10304403662,1
10304403661,1
10304403659,1
10304403671,1
10304403658,1
10304403657,1
10304403656,1
10304403655,1
