numero_ordre,cooperative,code_plantation,code_producteur,autres_codes,superficie_cacao_ha,rendement_kg_ha,estimation_kg,variete_cacao,gerant,nom_gerant,latitude,longitude,donnees_polygonales
3097,A,10304403758-P001,10304403758,,0.9,720.0,648,Tout Venant,Non,,6.027796,-5.570171,
3098,A,10304403759-P001,10304403759,,2.6,720.0,1872,Tout Venant,Non,,6.082685,-4.6344,
3099,A,10304403760-P001,10304403760,,15.1,640.7284768211921,9675,Tout Venant,Non,,6.095473,-4.588228,
3100,A,10304403761-P001,10304403761,,1.8,720.0,1296,Tout Venant,Non,,6.08134,-4.627574,
3101,A,10304403762-P001,10304403762,,3.1,720.0,2232,Tout Venant,Non,,6.073453,-4.614374,
3102,A,10304403763-P001,10304403763,,1.7,720.0,1224,Tout Venant,Non,,6.04853,-4.621067,
3103,A,10304403764-P001,10304403764,,3.0,720.0,2160,Tout Venant,Non,,6.04678,-4.62446,
3104,A,10304403765-P001,10304403765,,5.1,679.2156862745098,3464,Tout Venant,Non,,6.079165,-4.639527,
3105,A,10304403767-P001,10304403767,,3.3,720.0,2376,Tout Venant,Non,,6.080713,-4.631213,
3106,A,10304403769-P001,10304403769,,4.6,610.4347826086957,2808,Tout Venant,Non,,6.033542,-4.581195,
3107,A,10304403770-P001,10304403770,,6.4,621.875,3980,Tout Venant,Non,,6.07227,-4.642473,
3108,A,10304403771-P001,10304403771,,12.22,643.2078559738134,7860,Tout Venant,Non,,6.078351,-4.624496,
3109,A,FT/084-A1722-P001,FT/084-A1722,,1.82,677.4725274725274,1233,Tout Venant,Non,,6.4021,-5.1419,
3110,A,FT/084-G2026-P001,FT/084-G2026,,1.71,678.3625730994153,1160,Tout Venant,Non,,6.3688,-5.1425,
3111,A,FT/084-G2027-P001,FT/084-G2027,,2.08,675.0,1404,Tout Venant,Non,,6.3483,-5.1735,
3112,A,FT/084-G2029-P001,FT/084-G2029,,1.22,677.0491803278688,826,Tout Venant,Non,,6.3465,-5.1736,
