identifiant,type_anomalie,colonne_concernee,valeur
FT/084-A2200-P001,Plantation sans producteur associé,code_producteur,FT/084-A2200
FT/084-A2728-P001,Plantation sans producteur associé,code_producteur,FT/084-A2728
FT/084-A1186-P001,Plantation sans producteur associé,code_producteur,FT/084-A1186
FT/084-A1197-P001,Plantation sans producteur associé,code_producteur,FT/084-A1197
FT/084-A1212-P001,Plantation sans producteur associé,code_producteur,FT/084-A1212
FT/084-A1256-P001,Plantation sans producteur associé,code_producteur,FT/084-A1256
FT/084-A1902-P001,Plantation sans producteur associé,code_producteur,FT/084-A1902
FT/084-A2569-P001,Plantation sans producteur associé,code_producteur,FT/084-A2569
FT/084-A2573-P001,Plantation sans producteur associé,code_producteur,FT/084-A2573
FT/084-A2579-P001,Plantation sans producteur associé,code_producteur,FT/084-A2579
FT/084-G1297-P001,Plantation sans producteur associé,code_producteur,FT/084-G1297
FT/084-G2443-P001,Plantation sans producteur associé,code_producteur,FT/084-G2443
FT/084-G2449-P001,Plantation sans producteur associé,code_producteur,FT/084-G2449
FT/084-T2475-P001,Plantation sans producteur associé,code_producteur,FT/084-T2475
FT/084-T2551-P001,Plantation sans producteur associé,code_producteur,FT/084-T2551
FT/084-T3037-P001,Plantation sans producteur associé,code_producteur,FT/084-T3037
FT/084-T893-P001,Plantation sans producteur associé,code_producteur,FT/084-T893
FT/084-G5052-P001,Plantation sans producteur associé,code_producteur,FT/084-G5052
FT/084-G2019-P001,Plantation sans producteur associé,code_producteur,FT/084-G2019
FT/084-G1944-P001,Plantation sans producteur associé,code_producteur,FT/084-G1944
FT/084-A2578-P001,Plantation sans producteur associé,code_producteur,FT/084-A2578
FT/084-A1191-P001,Plantation sans producteur associé,code_producteur,FT/084-A1191
1030030635,Écart estimation > 10 %,estimation_totale_kg,35.85746102449889
1030030642,Écart estimation > 10 %,estimation_totale_kg,19.491964748574393
1030030645,Écart estimation > 10 %,estimation_totale_kg,13.095238095238097
1030030650,Écart estimation > 10 %,estimation_totale_kg,-36.17647058823529
1030030651,Écart estimation > 10 %,estimation_totale_kg,56.69099756690997
1030030652,Écart estimation > 10 %,estimation_totale_kg,20.56262558606832
1030030658,Écart estimation > 10 %,estimation_totale_kg,-34.61950696677385
1030030666,Écart estimation > 10 %,estimation_totale_kg,-20.794392523364486
1030030668,Écart estimation > 10 %,estimation_totale_kg,10.273972602739725
1030030673,Écart estimation > 10 %,estimation_totale_kg,12.239020878329733
1030030681,Écart estimation > 10 %,estimation_totale_kg,68.53002070393374
1030030685,Écart estimation > 10 %,estimation_totale_kg,43.2520325203252
1030030689,Écart estimation > 10 %,estimation_totale_kg,-12.280701754385964
1030032967,Écart estimation > 10 %,estimation_totale_kg,-17.345525076198392
1030032976,Écart estimation > 10 %,estimation_totale_kg,-63.485956136975766
1030032982,Écart estimation > 10 %,estimation_totale_kg,25.41620421753607
1030033035,Écart estimation > 10 %,estimation_totale_kg,-31.25904486251809
1030033556,Écart estimation > 10 %,estimation_totale_kg,153.4959349593496
1030033602,Écart estimation > 10 %,estimation_totale_kg,31.802120141342755
1030040474,Écart estimation > 10 %,estimation_totale_kg,18.83617667679364
1030040475,Écart estimation > 10 %,estimation_totale_kg,11.378205128205128
1030040476,Écart estimation > 10 %,estimation_totale_kg,20.212765957446805
1030040477,Écart estimation > 10 %,estimation_totale_kg,32.07070707070707
1030040479,Écart estimation > 10 %,estimation_totale_kg,-17.993951612903224
1030040482,Écart estimation > 10 %,estimation_totale_kg,108.54214123006834
1030040483,Écart estimation > 10 %,estimation_totale_kg,48.31649831649832
1030040486,Écart estimation > 10 %,estimation_totale_kg,-12.176165803108809
1030040487,Écart estimation > 10 %,estimation_totale_kg,67.98810703666997
1030040488,Écart estimation > 10 %,estimation_totale_kg,40.10840108401084
1030040490,Écart estimation > 10 %,estimation_totale_kg,-56.94037145650049
1030040491,Écart estimation > 10 %,estimation_totale_kg,26.978723404255316
1030040492,Écart estimation > 10 %,estimation_totale_kg,26.54224987039917
1030040493,Écart estimation > 10 %,estimation_totale_kg,-31.93979933110368
1030040498,Écart estimation > 10 %,estimation_totale_kg,72.49602543720191
1030040501,Écart estimation > 10 %,estimation_totale_kg,-16.64804469273743
1030040506,Écart estimation > 10 %,estimation_totale_kg,-20.47898338220919
1030040508,Écart estimation > 10 %,estimation_totale_kg,12.126779972439136
1030040510,Écart estimation > 10 %,estimation_totale_kg,52.69709543568465
1030040515,Écart estimation > 10 %,estimation_totale_kg,71.01380295097573
1030040519,Écart estimation > 10 %,estimation_totale_kg,117.94642857142857
1030040520,Écart estimation > 10 %,estimation_totale_kg,26.862679585699965
1030040521,Écart estimation > 10 %,estimation_totale_kg,-17.74042950513539
1030040522,Écart estimation > 10 %,estimation_totale_kg,-10.773026315789473
1030040525,Écart estimation > 10 %,estimation_totale_kg,-23.955147808358817
1030040526,Écart estimation > 10 %,estimation_totale_kg,-28.860569715142432
1030040528,Écart estimation > 10 %,estimation_totale_kg,50.291715285880976
1030040529,Écart estimation > 10 %,estimation_totale_kg,194.51913133402275
