code_producteur,nb_plantations_total,superficie_decl_totale,nb_jointes,superficie_calc_totale,nb_anomalies,taux_couverture_geo,taux_anomalies,ecart_surface_total_ha,cooperative
1030010090,1,3.0,1.0,3.044233389234869,0.0,100.0,0.0,-0.04,A
1030010096,1,1.5,1.0,1.1582898279697056,1.0,100.0,100.0,0.34,A
1030010097,1,2.0,1.0,2.0923853706781186,0.0,100.0,0.0,-0.09,A
1030010099,1,1.6,1.0,1.4902234355907245,0.0,100.0,0.0,0.11,A
1030010100,1,2.2,1.0,2.590660419726236,1.0,100.0,100.0,-0.39,A
1030010101,1,2.2,1.0,2.6489622419851355,1.0,100.0,100.0,-0.45,A
1030010102,1,1.8,1.0,0.869381971182977,1.0,100.0,100.0,0.93,A
1030010106,1,2.6,1.0,1.241317296834192,1.0,100.0,100.0,1.36,A
1030010107,1,1.2,1.0,1.2106336267919795,0.0,100.0,0.0,-0.01,A
1030010108,1,3.8,1.0,3.868041496821084,0.0,100.0,0.0,-0.07,A
1030010109,1,3.3,1.0,3.091175736819654,0.0,100.0,0.0,0.21,A
1030010110,1,0.5,1.0,0.5197030685058065,0.0,100.0,0.0,-0.02,A
1030010111,1,1.6,1.0,1.0722870272037002,1.0,100.0,100.0,0.53,A
1030010112,1,0.7,1.0,0.7251651464277165,0.0,100.0,0.0,-0.03,A
1030010113,1,0.8,1.0,0.7664577328345081,0.0,100.0,0.0,0.03,A
1030010114,1,1.7,1.0,2.0204265928669165,1.0,100.0,100.0,-0.32,A
1030010115,1,7.1,1.0,7.0457931565910785,0.0,100.0,0.0,0.05,A
1030010116,1,3.5,1.0,3.496184444900592,0.0,100.0,0.0,0.0,A
1030010117,1,2.1,1.0,2.1186055894195848,0.0,100.0,0.0,-0.02,A
1030010118,1,1.6,1.0,1.587091240811331,0.0,100.0,0.0,0.01,A
1030010119,1,1.8,1.0,2.0285639213464957,1.0,100.0,100.0,-0.23,A
1030010120,1,4.9,1.0,5.004912687704284,0.0,100.0,0.0,-0.1,A
1030010121,1,0.4,1.0,0.6275076066624613,1.0,100.0,100.0,-0.23,A
1030010122,1,4.3,1.0,5.312008862116519,1.0,100.0,100.0,-1.01,A
1030010123,1,6.9,1.0,6.786941094614392,0.0,100.0,0.0,0.11,A
1030010124,1,1.0,1.0,1.0227027137825695,0.0,100.0,0.0,-0.02,A
1030010125,1,1.1,1.0,0.8333259987110234,1.0,100.0,100.0,0.27,A
1030010126,1,1.6,1.0,3.3772360147909253,1.0,100.0,100.0,-1.78,A
1030010127,1,1.2,1.0,0.917891090104006,1.0,100.0,100.0,0.28,A
1030010128,1,1.4,1.0,1.426062462367555,0.0,100.0,0.0,-0.03,A
1030010130,1,0.8,1.0,1.3710225793453668,1.0,100.0,100.0,-0.57,A
